Text,Cat
Its too bad you can't buy these at ToysRUs anymore since they stopped carrying all German WW2 toys. Its a great model and a terrific toy/collectible. The Tiger I is even better! Can't get that from this outlet either.... Too bad.,action toy figures
"This product cleans my contact lenses just as well, if not better, as all of the chemical concoctions I used before its purchase. My lenses are clean in 2 minutes, and the only product I need is saline solution. One very minor drawback is that the lenses shouldn't be stored in it when not in use, so an extra lens case is needed. I think a $2 lens case is a small price to pay for not having to buy disinfectant and enzyme tablets anymore.",personal care
"What I was hoping for was something quick, simple, filling, and with a reasonably decent taste. This is not five-star restaurant eating, people, but I don't care. These meals are just what I hoped they would be.The shells-and-cheese meals suit me just fine, and I intend to try other products in this &quot;Hot Meal Options&quot; series. The thing I like about the Slim-Fast plan is its simplicity. I keep several of the shakes in my car and just get a cup of ice at fast food restaurants or a convenience store and then pour my shake over that.The thing I dislike about most snack bars and most diet shakes (including those made by Slim-Fast) is that they are NAUSEATINGLY sweet. Two Slim-Fast shake flavors that I actually like, however, are the orange-pineapple and the apple-cranberry; the rest of them are like drinking liquid candy, and the meal bars/snack bars are even worse.Now with these Hot Meal Options (which can substitute for a shake), I have basically replaced two meals a day with a shake for breakfast and a shake or a meal for lunch. This, combined with a moderate dinner and regular simple exercise (again--nothing too elaborate--just some situps, pushups, etc., maybe three times a week), is actually working for me. I've been losing ca. 1-2 pounds per week steadily over the past two months--even with an occasional small &quot;splurge&quot; or two from time to time. I've gone from 190 lb. to ca. 180 lb over the last 6 to 8 weeks--and it hasn't been torture! The most amazing thing to me is that my appetite has *decreased* over these two months. It's just a matter of getting used to eating less.The problem with most diet plans is that they're too darned complicated or preparation-intensive. The Slim-Fast plan is simple and easy, and it is working well for me. I only wish these hot meals were a little healthier (less sodium, fewer additives, etc.).",nutrition wellness
"This is a fairly fun set, and reasonably close to the real thing as far as LEGO Star Wars Mini sets go. The main drawbacks are:- ""wings"" near the back can move even though they shouldn't be able to- no extra model to motivate you to buy the entire series (like the TIE bomber or Y wing in previous LEGO Start Wars Mini sets)- Uses new dark gray colorThe color issue is only a problem if you intend to mix the pieces with other old dark gray pieces.On the plus side, like all of the Mini sets this is:- fast to build- cheap- easy to store/display due to small size",building toys
"I have a stable, and it was sooo fun to play with! I recomend it to kids who have imagination/love horses.",action toy figures
"This and the ROTK Sam in armor are must-haves for the collector! This is one of the better figures, being highly detailed with a good sculpt of a very drawn and weary Frodo/Elijah, and it stands very sturdily in klunky orc boots. I recommend this and the matching Sam for the memorabilia shelf.",action toy figures
"I bought these batteries on what was writen on their packaging. It was not true to what was said. These batteries died after only 25 minutes in my digital camera. And a set of Duracell Ultras, that are not rechargeable, lasted longer. Do not always believe what you read. Make sure you have the ability to return items. And is with this case, they went back. I went with a set of energizers. And they last much longer, with the power being the smae as these 1800mah monster brand.",household supplies
"All my comments have already been listed in the other reviews online. But in summary, I took a chance on this trimmer because my wife and I were both tired of cleaning up all the little hairs left behind on the sink. However, it's &quot;toy-like&quot; construction, it's lack of power, the fact that the tray falls out and the length guard came off too easy, and the lack of power of the vacuum, I eventually chose to return the unit. Maybe I will reconsider with version 2.0 or 3.0 of the unit, but for now Wahl needs to listen to all the responses and get back to the drawing board.",personal care
"My children love this train, as well as their other Little People toys. I love that it helped them learned cause and effect. If you push on the seat where the driver sits, then it plays a song (which I sing to- growling w/the tiger, squaking w/the parrot). When you push the train, the giraffe spins around and the tiger and parrot go up and down. As w/all the Little People items, any piece will fit. It also encourages imagination. In our house the animals are always asking each other if they want to go to the park.When we travel, we always take this train. The only downside to this item is the music button is VERY sensitive and goes off when we are traveling down the highway or carrying it in a bag.I may have given this 5 stars, but I am very biased when it comes to Little People toys. They are the perfect toys for our household. I have a 21 mth old and a three year old. They both play wonderfully with the toys as do all of their friends.",action toy figures
"I have the the Hasboro version of Prime and after I got him I had to write this review. This guy is AWSOME. The best TF toy ever made. But I dont consider him a toy, he is a collectors peice and then some. The detail, features, and everything else just blow's me away. There have been some complaints about the short smoke stacks but they are no problem for me. They dont detract from the marvlous job that Hasboro put into him. I've waited a long time to see the great Optimus Prime get this treatment and now he has. Thank you Hasboro! If you havent got this masterpeice get him while you can because he wont be around long!",action toy figures
"To start off I have liked Bionicle since the very beginning, so I know a thing or two about it.In a short summary of this toy, I think it is very cool. I just have one pet peeve, not making the toy any better or worse, but, doesn't it seem funny that as the Bionicle storyline goes back in time, the technology gets better? Oh well. But this is a very good product. The age range for this toy should be 5+ instead of 7+, since it was my 5 year old nephew who showed me the toys, and he built them flawlessly by himself. Vakama the fire Metru-Toa, is a very wise Toa. This toy is totally poseable, and very fun. Along with fun, Bionicle Toa Vakama is very durable. I couldn't begin to count the number of times I have dropped this, and it still holds together. Finally, the education value on this toy is good, because it shows you how to follow directions, build, and have fun. So if you are a bionicle fan, or are bored and have extra cash on hand, pick up this, or one of the other Toa-Metru.",building toys
I've smoked for over 30 years and now I am using commit lozenges to quit smoking. They really work. Whenever I want a cigarette I just suck on a lozenge instead and the desire for a cigarette goes away. I use the lozenge and QuitNet.com for a support group. I have now been quit for 11 months and I'm a smoker who no one thought would ever be able to quit. Give them an honest try you might be pleasantly surprised by how much they help you quit smoking.,health care
"You SHOULD buy this toy. I think mighty beanz are FUN. This toy is very durable, I threw a mighty bean on a hard, terrazzo floor. It did not break. They are fun becase there is a lot of fun games to play with. Also, my friends have mighty beanz, and we like to trade. You can also buy race tracks and other neat items. I am 8,and I recomend this toy.",action toy figures
"I live overseas and my apartment has a miniscule shower in which it is impossible to shave one's legs. I have never used an electric shaver and was skeptical. Based on user reviews, I purchased this product and love it. While it IS very loud, the shave is quite close and I can now shave my legs while watching tv, etc. I highly recommend this razor but wish I had purchased it when it was only $29.99!",personal care
"I've tried a million of these things, and believe me, this is the best. It recharges in no time, is simple to clean, and gives a VERY close shave -- it's not as close as a regular razor, of course, but it's the next best thing! If I use this and then slap some lotion on my legs, you'd never know I didn't use a real razor. It's also PERFECT for those last-minute underarm shaves (you know, when you're excited about wearing a sleevless shirt but whoooops, you've let your underarms go a few too many days without a shave!). No more awkward hang-over-the-sink acrobatics for a quick cleanup!",personal care
"I knew about these devices years ago but they sounded, well ... ouch! But I got one and it does not cut me up or anything, just some hair pulls that don't hurt much. I think I could have done better on some dates if I used this long ago! But don't tell my wife I said so! :)",personal care
"You need to have courage or a margaritta before you do this, becuase it does hurt the first time- but after that its a breeze. Long lasting results. Highly recommended.",personal care
My son has so much fun with this camera. He loves taking pictures - we've already developed some pictures and he gets such a kick out of what he's done. This is a great way to express himself artistically.,electronics for kids
"It's one of the closest shaves I've ever gotten with an electric shaver. Works great, charges fast. Much better than Norelco, Braun, etc.",personal care
"Simple, easy to use and cheap. what else u want.",health care
This toy would be a lot more fun if it were more durable. Pieces come apart with even gentle play. My kids never play with it.,action toy figures
"Star Wars mini vehicles allow users to create vast scenes from the movies without spending thousands of dollars. Each new model has at least one special piece so that you won't be able to duplicate it exactly by using other pieces in your collection.The Millennium Falcon is pretty true to the original. The finished model is the size of the palm of a large hand. A good size for playing with.The directions are standard Lego format and are easy to follow. The final construction is solid and believable. The set includes extra parts for making part of a Y-Wing (the rest of the parts are available with the AT-At, Republic Gunship, and the Multi-Troop Transport).All in all, very nicely done.",building toys
"The paint job on this figure is simply amazing. If it was only a little bigger, you would think it came right out of the movie. The Gondorian Soldier fits nicely in the saddle and, with a little effort, can be made to stand on his own without the horse. The figure goes perfectly with other Armies of Middle Earth toys.",action toy figures
"What a piece of junk. This toy is impossible to put together and the pieces fall off if your child touches it. The elevator does not move easily at all, causing great frustration for a 3 year old. The baskets that hold the pony are supposed to snap in, they do not. This toy was very frustrating for my daughter. I plan to return it tomorrow.",action toy figures
its softens the skin leaves no hair but itches thats the only flaw Satin care is better,personal care
My daughter loves this toy! I thought it was rather loud until I figured out that there's a volume switch in the back with the battery. Now that it's quieter it's much better. She loves sleeping with it with the songs and lights.,electronics for kids
We have had our Littermaid for 2 years. Last Fall with a new batch of recepticles we started having odor problems - we discovered the lid did not always seat properly. Just received a new batch 3/15/04. These are even thinner than the last batch and the lids are not fitting the holder let alone seating properly in the recepticle. Stay Away!!,dogs
"As someone who had never waxed or epilated I was a bit leary of trying this device, but am very glad I did. I'll never shave again! It was quite uncomfortable and a bit painful the first time I used it [come on, it pulls your body hair out by the roots...] but since then it has been virtually pain free. The best reward of using this product is not having to bother with hair removal very often -- I can't say exactly how long the overall effect lasts, but I usually do touch-ups once a week on those hairs that were not long enough to pull the week before and it doesn't take but about 15-20 minutes to to a &quot;whole body&quot; once over. I use it on my legs, underarms and bikini line all with equal success. The only drawbacks that I have discovered are occasional problems with ingrown hairs (which has mostly been solved with the added use of a loofah) and the fact that my legs are never as smooth as when I shaved due to some hairs not being long enough to catch at the time of epilation. This has gotten better with repeated use (it appears as if less hair grows back between each use and it grows back soft), but it's still not quite smooth to the touch. However, all in all I consider this a great product that I'm really glad I took the chance on trying.",personal care
"The Gravity Wolf is a very interesting zoid. He has two wheels (the one in the front comes out and he looks like a motorcycle). You use the rip-cord to go through the gravity gear system (his main power system) and his wheels turn, making him roll along the ground. He looks great with my other wolf zoids.",action toy figures
I've used the razor for over a year now. And while I'm pleased with it's over all shave I find the Shaving gel gives a smoother less irrating shave than the lotion. The only problem is no stores in my area carry the gel.,personal care
"This is basically a large version of the 6"" Legends figure, and that's a good thing! Many times large sculpts and figures have poor proportions, but for the low price, the paint job and sculpt on this roto style figure are really tops! Not bad in the articulation either (but the elbows are locked). This is really a great display toy for the shelf, for fellow nerds like me who like to look at their figures rather than make them fight.However, I thought it had an interchangeable head or removable mask from the description, and it doesn't.Definitely a cool toy, overall. ToyBiz is getting better every year.",action toy figures
"Please people, I know everyone has an opinion on what they buy, but come on, I have every reissue they came out with, and you know what? I am greatful that they brought back the transformers. It brings back history and good times when I was a child. Sow ho cares if they change a little hear and there, no one complained how looked or how the durability was back then, why gripe now. Times have changed over the years, and yeah there are more rules for child safety, but these havn't changed that much to even notice. I have both the vintage and the reissue of rodimus prime and they are both almost identical. If you a TRUE transformer fan, you will not care of the reviews that are putting down this action figure. He is a must have and well worth every penny.",action toy figures
"I have tried most of the major health bars, including energy bars, protein bars, and low-carb bars. The EAS AdvantEdge Carb Control Nutrition Bar, Chocolate Cream Pie is, in my opinion, the best tasting. I have one every morning for breakfast and I actually look forward to it. They're THAT good. The consistency is kinda goofy at first, but after you get past that (or if you have eaten health bars before), they're quite good. Don't know about the whole &quot;impact carbs&quot; thing, but the protein/fat/carb mix is right for a healthy lifestyle.",nutrition wellness
"I just got these today, i have already used one day of them. They are GREAT!! JUST BY ONE STRIP i could already see some improvement. the only complaint i have, is that if the gel that they use oozes out, and u happen to taste it, its not a very good taste, almost threw up. but otherwise, thats not gonna make me not use this product!",personal care
This pillow is for my daughter. She likes that so much. She wants the pillow to play every night and then sleep together.,stuffed animals plush
"Ok for all of you who are confused 'bout this bionicle era, let me give u da scoop. This toy is super trusty in bendability. I swear, this thing can bend into any shape!( well, not every shape, but you get the point:))and the coolest part is, that you can combine all of the toys in this era of bionicle to form two awesome creatures.",building toys
"This is THE Masterpiece of the entire Transformers line. I was lucky enough to find it in japan since most stores told me it was SOLD OUT. I have to say the japanese version is better, it's got metal & plastic parts like the original prime figure. More importantly, it DOESN'T have those horrible ""american company executive, 'let's change a perfect thing'"" blast marks & short stacks. Honestly, the only time we saw Prime that torn apart like that was when he was dying, and I don't need to see him that way. Why'd we get stuck with kiddie version, dying Prime?? Get the import version if you can, it's not much more!",action toy figures
My daughter loves this castle. But it is a piece of junk! I can not believe that they charge so much for something that falls apart! The balloon that comes with it breaks for good. There is no fixing it. The ends of the balloon are cheap plastic that attachs to the basket to carry the ponies. It bends easy and breaks. The rest of the parts fall apart. She has to keep popping them back into place. I don't regret buying it though. My daughter plays with it alot. Mainly because she loves the ponies.,action toy figures
I purchased the Leapster at Christmas for my 4 year old daughter. She loves it! She especially loves the Sponge Bob Square Pants cartridge (sold seperately). My 7 year old son enjoys it also. He has been trying to swap his sister with his beloved GameBoy SP! I hope there are more cartridges that come out soon.,electronics for kids
"I bought this toy for my two-year-old son. He shares it with his one-year-old sister and it has been getting pretty steady use since we got it three months ago. They just love it!!! We have all of the cartridges, which my two-year-old changes by himself.I wouldn't recommend the Dora tape - it drives me nuts. They play the same repetitive song on EVERY page. All of the other cartridges (Barney, Elmo, Blue's Clues) are fine, though.Both of my kids are highly mobile and have been giving this thing a work-out! This toy has been dropped repeatedly, dragged by the microphone, had the cartridges put in and out a million times and it still works fine (quite frankly, I would be happy to see the microphone break). It has two volume settings that I would label as ""tolerable"" and ""ear-splitting"".I would highly recommend it!",electronics for kids
"These bars are awesome! They taste like they would be very naughty, but I don't worry when I have one once in a while and the mint flavor really hits the spot.",nutrition wellness
"This is a great rc. I'm the mom and I think I play with it more than my son. It's awesome - indoors anyway. We haven't had a chance to take it outside and give it a shot. This rc is tons of fun, and the light show is great! Definite thumbs up!",electronics for kids
"My son is only three months old and this kit has already been sooo useful. We immediately used the gas drops when we came home from the hospital and my little boy had awful gas pains. They are miraculous. Then a few weeks later he had a cold and the saline nose drops helped his breathing tremendously. The nasal aspirator included in the kit is infinitely better than the one I received from the hospital, the one in my baby grooming kit or the gerber one I also received at my shower. It's soft on the little nose and easy to use.I used the teething gel on my 9 year old when one of her teeth was loose and it worked for her.I've also used the cold remedy on the advice of my pediatrician and it also worked very well.This is a highly recommended product!",health care
"Yes this toy does look cool, but I have to give it a low rating because it is basically an older Spawn toy, but they added a red cape. Take a look at Spawn VI (6) from last year, its the same thing.",action toy figures
"Ice Mountain has been our son's favorite toy since the moment he opened it 4 months ago. He plays with it by himself, with his 2-year-old sister, with his friends, and even proudly shows it off to any visitor who happens by. We like the noises that it makes, unlike other battery operated toys, these sounds have not yet gotten under our skin.",action toy figures
"Excellent workmanship, color, precise details, and durablility, once again Breyer comes through.",action toy figures
I used this trimmer once and stuck it too far inside my nose. Extreme pain and blood pouring out. Had to call 911 and be rushed to the emergency room. It ripped the inside of my nose out. Wooooh!,personal care
"I purchased the MS3-2700 shaver and after 3 mo's the microscreen developed a small hole and cut my face. I have been trying to replace the SP-93 screen and blades, but have been unable to find a store that carries them. I e-mailed remington twice and explained my problem but did not even receive a courtest reply. Most retailers including Walmart, Target, etc seem to be oblivious to the fact that they should be stocking the replacement parts.",personal care
I thought this toy was great but it comes with a key so your younger or older sibling can get at it. It is still a great toy I enjoy it a lot. If you do buy it is a great toy but hide the key. By Madeline Lagacey,learning education
"I love this pen! The rubber grip makes the pen very easy to hold and is very comfortable. I no longer need to look for Post-it flags to mark a page or two. Very convenient. I don't think I'll ever buy another type of pen ever again! My only complaint, I would prefer blue, fine ink instead of black medium.",household supplies
"Give it a try, may not taste fabulous but it is nutritious, filling and as a good thing to have to help curb carb cravings. If you make it in a blender with a handful of ice it tastes o.k. After a few days you get used to the taste. I drink this 3 times a day with low carb snacks and have lost 75 lbs so far.",nutrition wellness
"Though I knew this was an 18"" figure, I was still surprised at how massive it is-and heavy. I recently bought two, one to display and the other to sell somewhere down the line...yes, I'm a geek... Regardless, for collectors like me, this figure is definately worth the price. The detail is immaculate down to the actual bullets in Hellboy's ""Good Samaritan."" I love how the figure is also wearing stitched clothing which gives it a more textured appearance. The gun is a little hard to squeeze into Hellboy's hand, but there is a holster on his belt that serves as a temporary sanctuary. The tail is a bendy, so you don't have to worry about it getting in the way as you pose it on your bookshelf. Speaking of posing, the figure can be easily placed in an upright position without it falling over. The one gripe I have is the packaging. It took me ten minutes to untie all the twisties which was a royal pain. All in all, you don't have to be a Hellboy fan to appreciate the artistry of this figure.",action toy figures
my son got this as a christmas present from is grammie and grampie. his grammie really likes to play with it too. my son loves it too. He will get it out every now and then. He will even move to the beat of the drum.,electronics for kids
"My son, who is now 9 mos, gets great enjoyment from this toy. He's been playing with it for about 3 months and just loves the noise. it does letters, numbers, and drum sound. it makes noise no matter where you hit it so its good to play with even when baby turns it upside down, which s/he will.",electronics for kids
My One Year old got this toy as a gift from some new friends we made and invited to her party. She has a fascination with wheels and especially cars. This little set of 3 vehicles are not only darling but she has learned in 2 days how to opperate them and do it gently as to see the dog turn and balance the wheel where the bear sits and goes around and around when moving. She squeals in delight when I pull it for her so I know it is entertaining. She is getting quite the collection of Little People and this was a welcome addition. We are considering getting her the Ferris Wheel and Theme Park to complete this set for her she likes it so much!,action toy figures
I bought this for my 3yr old.Thought being she loves to play with balls.I didn't have it a day and repacked it.It falls apart when you move it or even get the ball in the goal.The goal is too small.The stickers come up or fall off.I don't believe any child should have to go through the frustration that they go through just to play a game.Every time she gets the ball in I have to put it back together for her to play again.Milton Bradley should be ashamed of them selves to put out such a terrible toy for a child. I note this as unsafe...,sports outdoor play
"A wonderful gift my daughter received for her first birthday and still plays with after her second. Catchy sounds, enticing lights and all-around fun for little hands. Learning couldn't be any more fun! Great shape - not too big, not too small, very stable for those learning to stand alone and a volume control!",electronics for kids
ATTN,electronics for kids
Sure most of the parts fall off and get lost but so does every other toy and walker on the market. After the doors were removed (and lost) by my 10 month old son -he became interested in using it as a walker. This walker is wide and much better then the narrow handle bars on the fisher price. It's resistance is great for carpets and I never worry about him speeding off uncontrollably. He just loves using this walker and complains every time we take it away! I think it is a great stepping stone for his next milestone ....walking on his own!,electronics for kids
"This item did not work. The soap woudld not come out when you pushed the button. You had to push it 20 times to get any tiny micro amount of soap to come out at all. So it was more work to use it than to just do it the old fashioned way. Finally we just cut the dispensing part open wider but then all the soap poured out. It was also a major hassle to refill. The hole is so tiny you cant get the soap in. IT DOES NOT WORK. Good handle design, so its too bad.",household supplies
- Good mold and paint work. Would have been better if skin color was painted with a matte finish rather than gloss.- Has slightly more articulation than the average action figure- especially needed for the wide feet.- Pressing a button on his chest makes him say Boo-Yah!- Arms are detachable so you can insert his sonic canon- does not make any additional sound effect.- Includes a tiny yellow walkie talkie that he can hold in his hand. This tiny object is likely to be a choking hazard for small children.,action toy figures
These weight loss supplements are really dangerous. Read the science behind these products - not their sales pitch.,nutrition wellness
"We got this microscope a few months ago and it has seen a lot of use since then. Digital is a great feature for kids because they can see it on a screen instead of squinting into an eyepiece. You get a lot for the price -- a decent digital microscope with up to 200x magnification, a digital camera (with a mode that functions as a low-res video camera, including a time lapse feature), and some photo editing software. The kids (particularly the 7 year old) have had a ton of fun looking at bugs, everyday objects, etc. The microscope also detaches from the stand so you can aim it inside your ear (or whatever) if you are so inclined. It's clearly not a professional microscope, but for the price it is a great introduction to the world of the very small.",learning education
"I spent two months trying to get it right. Which brand of ""recommended"" litter won't stick to the rake? How much is just enough litter? (use too much and the rake can't return to its starting position and will keep repeating its cycle) How often should I add another cup of litter? My 2 cats went in the same location in the pan, so the receptacle overflowed after one day. Also, the rake would pull the clump and litter away and then they would urinate on a pan without litter! Not a good smell! This did not liberate me from cleaning the box, I was dealing with litter box issues twice as often!(...) PS",cats
This product stinks it the whiting gel easily gets into your mouth and it tastes really nasty i would not buy this if i was you it does not work well at all!!!,personal care
"The Password Journal 3 is an awesome toy for girls 8-?? I told my brother my password to see if someone could get in.At first it didn't work but then he tried it again and he got in.So I had to change my password so that he can't hack in.Other than that this is a very fun toy.It has full privacy,so that you can write down your personal secrets.",learning education
"This massager really disappointed me. It's very hard to handle for more than a few minutes, as it's handle is not shaped well for hands. Worst of all, it is VERY heavy. I have large, strong hands, so I didn't expect that to be a problem.It is also very loud. Maybe I can sell it!",health care
I purchased this puzzle for my daughter at 17 months old. I like the fact that she can handle the pieces in her little hands. It is made very well.,puzzles
"I like these cough drops. They taste good, and they soothe the throat. I take them whenever I have a cold and they help me feel better.However...The other day (while not currently sick) as I was going to bed I wanted a little something to suck on, and spotted the bag still on my dresser from when I was sick a few months before. I grabbed one because they do taste good.Well, I'd been laying in bed about 5 minutes when I discovered that I felt the need to cough. And again 30 seconds later. And again. And again. I took out the cough drop and took a drink of water and everything smoothed right out.Later, just to test my theory, I tried another one. Same result.I'm not drawing any scientific conclusions, this is just my experience.*****Final Thoughts*****At first glance these were great because they are so soothing. But for some reason, they seem to actually MAKE me cough. Maybe it's supposed to do that, maybe it's just a way to sell more cough drops.As for me, I'll stick with generic-brand menthol-eucalyptus.",health care
"Don't buy this product. It's a waste of money and time. The mouth trays were cheap and didn't work. The taste of the gel made me gag. My teeth didn't get whiter, but now, after using it, they have bleched spots and rings that make my teeth look even more yellow than before. And the marks are still visible after I brushed my teeth over and over again.",personal care
"I wanted the backpack, but none in stock. I bought this item, and after a few weeks of less than normal wear and tear, the zipper broke. Leap Pad customer service wouldn't help, said I was the first to complain of a quality problem. What an inconvenience and a big, big disappointment. Good concept, but watch out! Think twice before buying this bag.",electronics for kids
"I had this shaver for about 3 weeks and it was fantastic. It gave me minor irritation due to my more sensitive skin but overall it was nothing much to worry about. Definitely nothing worse than a blade! There is a sensitivity dial on it but when you put it on the most sensitive setting it really limits the shaving performance so I decided to always leave it on Normal.It gave me a very close shave, about 90% compared to blade but one has to know, electrics are slower in general than blade! If you want a real clean shave you will be spending 9-10 minutes with electric where you can get the same results or maybe better with blade in 4-5 minutes most!Also, to prevent ingrown hairs a lot of people recommend using aftershave when you are done shaving with your electric.I did not experience any electrical problems with my unit for the duration of use. On the other hand, the Polymer LED screen looks awesome and very easy to read while saving battery power! The pictures don't really do the screen justice and you have to see it in real.I've also used my dad's Quadra Action series which is the one right before this one and the replaced &quot;holes&quot; &amp; &quot;slots&quot; has made a big difference. Also the improved lift&amp;cut system shaves hairs below the skin level more noticeably.The only reason I returned it was because I wanted to try the CoolSkin (Norelco Advantage) line which has a lotion dispencer and boy, I have to say it was much milder on my skin. Much less irritation and I even tried it with some Edge Shaving Gel and got good resutls! But don't get the 6000 series now cause on May 1st. they are coming out with the Norelco Advantage 7000 series which has the same lift&amp;cut system on this shaver hence I believe a big improvement in shaving quality cause honestly the 6000 Advantage Series didn't really match the 8000 Spectra's closeness but came pretty close. More on par with the 7000 Quadra Action I would say.Overall I recommend the 8000 Spectra series particularly the 8894XL",personal care
My 19 month old got this for his 1st birthday and he loves it! It is a great learning toy!,electronics for kids
"Not only do the calming ocean waves set a rythem for my voice as I induce my clients into trance, but it also heats up herbal oils for an all - over - feel - good of the sences. I have had one, and am looking for a second.",health care
"After reading the reviews I was really apprehensive about buying this toy for my 2 year old daughter, but either FP worked on the bugs or some people are just really sensitive. (and I tend to be a quiet-loving person) There are two volumes, one of which is actually quite normal. (The other, though, is obnoxiously loud.) As for my daughter, she loves the toy and quite often has to fight her big brother for it. I think it's a good toy for the money.",electronics for kids
I think Zippo Pine Bar is a very great breyer horse to own. He's very pretty especially his coloring. He is very durable to I have had him 4 1 year and he has fell off a very tall shelf and there wasn't even a scratch on him. This particular model is also very easy to show due to the way he is standing. Overall i think he is a great breyer horse for people of all ages.,stuffed animals plush
"My daughter and I have started using the new Intuition razors. I am forty years old and she is fourteen. We thought the razor shaves well but have two problems we feel will cause us to discontinue using them. The first is the razor becomes to slippery when it is being used in the shower. The second is we only get six shaves total on one cartridge.The concept is perfact but, the reality of it is flawed in our opinion.Terri Pittman",personal care
"I bought this for my 19 month old daughter and have been extrememly pleased. It seemed much sturdier than the others I tested in the store and was less expensive. I thought the dry erase board would be a waste for a while because there is absolutely NO WAY my little artist would be given markers on a regular basis. I discovered, however, that washable crayons work great on the dry erase side. She can wipe it clean easily by herself with a baby wipe.",arts crafts
"My husband and I started taking this product....I got chest pains, trouble breathing, so nausated I couldn't ride in a car. and I felt like I was freaking out...my eyes were real darty....horrible feeling. My husband broke out in a rash all over....I mean ALL OVER.....even the unmentionables. He itched every where. We both experience weight gain and bloatedness. NO WEIGHT LOSS at all. We bought this at GNC for $59.00, not knowing it was here. SO Price doesn't always mean better product. If there was a NO STAR catagory this wouldn't even qualify for that.",nutrition wellness
"It's an inexpensive, easy-to-take, over-the-counter supplement with no side effects. It can effectively treat bipolar disorder which I can personally attest to along with many other people who use it. I believe that as it becomes better known, it will become the treatment of choice for treating bipolar disorders.(...)",nutrition wellness
"I don't know what these other reviewers are talking about, but this product does wonders... I only wish it had permanant effects. Its painless, simple and easy to use. Just roll it on, 4 minutes later with a warm wet washcloth wipe it off. I have sensitive skin on top of everything... so those who had bad experiences either have very light transparent skin or did not use this product properly. This formula is stronger than the female version. I've tried Nads (which worked, but HURT!) and Epil-stop (which literally ripped the skin off my body!), this product works great. Try it and make your own decision. What works for some may not work for others.",personal care
"it LOOKS really cool. Its a really cool IDEA. But we couldn't see them like you do in the picture. But its the same box thing (just styrofoam and a clear plastic ""window"") as the ""worm-vue-wonder"" so we'll fill it with worms now and see if that works any better",learning education
We really enjoyed this swing but one word of caution. My daughter has very long hair. She likes to twirl on the swing but once her hair was caught by the rope. We had to cut off a good 6 inches to free her from this toy. Keep your little ones hair tied back and it will be a lot more fun!,sports outdoor play
I've used these hinged braces for racquetball for about three years. They provide complete bending mobility while keeping the knee from buckling sideways. A great product. I've had zero problems with them and I have no pain after I play. The best knee brace for the money.,medical supplies equipment
"This product also works when you are not wearing contacts. I've used this product to moisturize and refresh my eyes when writing lots of reviews. Also look for Allergan Refresh Contacts Comfort Drops.I wear contacts on occasion and would be terrified not to have a bottle of lubricating and rewetting drops with me.If I have to compare RENU with Allergan - I'd say Allergan is more ""rewetting"" while RENU seems to clear out your eyes and allows you to see more clearly.You can use both with soft contacts.~The Rebecca Review",personal care
I purchased this figure the first time I saw her. I had never heard of Ultima Online or even Captain Dasha....I didn't care because she is a beautiful figure. She is full of details and comes complete with sheild and weaponry :) Very much a great addition.,action toy figures
i really like it . durabilty is good.,building toys
Since I had some crown work I have a food packing pocket between two teeth that needs cleaning out each time I eat something. These are far superior in shape to toothpicks for this and I find them essential to avoid infection. For some they may only be a floss substitute but for others they serve a very different and necessary function. Getting hard to find locally as Walgeen's and local supermarkets no longer seem to carry them.,personal care
"My husband and I bought this product for our daughter when she was about 5 months old. At first, she enjoyed the sounds and the spinning globe. As she got older, she was quite entertained with it when she realised that whenever she touches it, a different sound is made. However she is now 10 months and seems to get more enjoyment from climbing onto it rather than playing with it the way it was meant to be played.Knowing what I do know now about babies and the toys they like, I would have purchased something cheaper[&lt;$800TT]with the same educational value.",electronics for kids
"This puzzle is great but requires a lot of patience. You have to get up really close to the puzzle in order to put it together but looking at the little scenes keep it interesting. If you love puzzles as much as I do, and a good challenge, this is great! (...)",puzzles
"This is an excellent addition to the previous 2 and 4 packs that Mattel has produced to date, and the new mold of the Penguin is the best move Mattel has made so far since they got the rights to Batman. I highly recommend this 4 pack!",action toy figures
"This is the only thermometer we use at our house, my husband and I included. It is so easy. Just be sure to hold the top of the ear straight up then insert the probe, this should give you the right angle. As for the probe covers, you can use any generic cover. I bought a package of Walgreens brand covers and they work just as well. They are not the exact same and do look different, but looks and functionality are two separate things. Get over the cover issue and go to Walgreens or any drug store. Please don't let the other reviews scare you. This is a great product.",health care
"My husband and I have been playing the Radica Solitaire games for over 10 years. We finally bought the new one - we have been playing for over 10 hours and have not been able to run a game. Who ever did the software for this game was sick - the most cards you will ever get is 4 in the suites.This is definitely NOT worth the money and we are asking for a refund.Unfortunately, the older ones that we had, we thru away.I contacted Radica and they said the older ones were to easy - I agree, but why go so much the other way that it is not even fun to play anymoreDO NOT BUY THIS GAME - NOT WORTH IT",electronics for kids
"We bought this for my son's 2nd birthday recently and he really loves it. The only thing is, it comes with these ""stamps"" but we tried everything and they just don't work. I thought you just push down on the board with them like regular stamps but it does nothing. We could trace them but on the package it shows them as stamps, not traces. So if anyone knows how to use them, I'd appreciate some insight.The board and pen are great though. It draws dark and nice and erases just as well, unlike a similiar toy he had. I definitely recommend this toy for kids that love drawing. It mess free, a big plus! We've only had it a few days but it seems durable.",arts crafts
